	fopt	sample	xopt
0	1.89677162865e-11	adh	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	1.88862259165e-11	adi	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	25.4526545547	adj	{'a': 0.9501792843094046, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.9448093692550725, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.952776067146431}
0	47.0120786204	aef	{'a': 0.9804766450080479, 'c': 0.0, 'b': 0.0, 'e': 0.9962353789684079, 'd': 0.0, 'g': 0.0, 'f': 0.9886607071794504, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.96873628511e-11	aeg	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	2.00666150363e-11	aeh	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	1.91893168022e-11	aei	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	1.96471727776e-11	aej	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	115.55268881	afg	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.007991323965146173, 'g': 0.9642205215910634, 'f': 0.9818919042690494, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	14.4738290321	afh	{'a': 0.9355001904197043, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.9336731181887162, 'i': 0.0023382066541420654, 'h': 0.9362871725457258, 'j': 0.0}
0	1.90150117874e-11	afi	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	29.8443187006	afj	{'a': 0.994892209672017, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.9898126306297602, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	39.4071197235	agh	{'a': 0.9348821417591522, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.9229679373947125, 'f': 0.0, 'i': 0.0, 'h': 0.9268782987997978, 'j': 0.0}
0	1.89839255427e-11	agi	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	1.94304572432e-11	agj	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	1.91657800741e-11	ahi	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 1.0, 'j': 0.0}
0	1.96791472007e-11	ahj	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 1.0}
0	62.3529406902	aij	{'a': 0.7155183545039647, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.008239790393904128, 'i': 0.7111166553958845, 'h': 0.0, 'j': 0.717743240444676}
0	19.5800876112	bcd	{'a': 0.0, 'c': 1.0, 'b': 0.9958694215963149, 'e': 0.0, 'd': 0.9932836961782122, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	52.6331899832	bce	{'a': 0.00036410910948706833, 'c': 0.7843425872844226, 'b': 0.7965634386318908, 'e': 0.791956267959188, 'd': 0.0, 'g': 0.0033314680173182508, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	32.8349870929	bcf	{'a': 0.0, 'c': 1.0, 'b': 0.9938044654299648, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.9949860967213263, 'i': 0.005253169697300608, 'h': 0.0, 'j': 0.0}
0	25.6841060646	bcg	{'a': 0.0029252400131126073, 'c': 0.9310092707504312, 'b': 0.9264443921018117, 'e': 0.0, 'd': 0.00034890570445234026, 'g': 0.9259177048398488, 'f': 0.0, 'i': 0.0006281236640162148, 'h': 0.0, 'j': 0.0}
0	105.765285534	bch	{'a': 0.0, 'c': 1.0, 'b': 0.9696120864473406, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.9779505399004387, 'j': 0.00849303707873276}
0	22.7746414067	bci	{'a': 0.0, 'c': 0.9935515349822381, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	1.93229876544e-11	bcj	{'a': 0.0, 'c': 1.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	2.00846006493e-11	bde	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 1.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	22.307542675	bdf	{'a': 0.0, 'c': 0.0, 'b': 0.9157739432933159, 'e': 0.0, 'd': 0.9198398761182429, 'g': 0.0, 'f': 0.9127640147508463, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.9668267015e-11	bdg	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 1.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.9051205058e-11	bdh	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	20.8810451278	bdi	{'a': 0.0, 'c': 0.0, 'b': 0.9941092656672418, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	157.832309678	bdj	{'a': 0.009397598308284957, 'c': 0.0, 'b': 0.9640981782786778, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.01138546225286352, 'j': 1.0}
0	0.571602457985	bef	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 1.0, 'd': 0.0, 'g': 0.00011100637124056636, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	7.5548940871	beg	{'a': 0.0, 'c': 0.0, 'b': 0.8860650684388031, 'e': 0.8860258869730894, 'd': 0.0, 'g': 0.8841842804185516, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	20.6841696343	beh	{'a': 0.0, 'c': 0.0, 'b': 0.5679797835129181, 'e': 0.5717824350185543, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.5692099172583122, 'j': 0.0}
0	11.1494572199	bei	{'a': 0.0, 'c': 0.0, 'b': 0.8679092787091758, 'e': 0.8699581749296352, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.8667351940175932, 'h': 0.0, 'j': 0.0}
0	1.96485050452e-11	bej	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	1.93953741956e-11	bfg	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	158.607340331	bfh	{'a': 0.0, 'c': 0.003842644883185853, 'b': 0.9511144835229987, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.9673825000088973, 'j': 0.0}
0	51.8892618551	bfi	{'a': 0.0, 'c': 0.0069277188162461326, 'b': 0.7842406895184312, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.7906935885924659, 'i': 0.7854955881694178, 'h': 0.0, 'j': 0.0}
0	1.90003568434e-11	bfj	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	41.3258302458	bgh	{'a': 0.0, 'c': 0.0, 'b': 0.8711434759317449, 'e': 0.0, 'd': 0.0, 'g': 0.8796153176609839, 'f': 0.0, 'i': 0.0, 'h': 0.8821307049309248, 'j': 0.0}
0	1.90707449832e-11	bgi	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	2.03537187105e-11	bgj	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	11.0800111162	bhi	{'a': 0.0, 'c': 0.0, 'b': 0.6339597297320804, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.6362926181348348, 'h': 0.6353145828276634, 'j': 0.0}
0	21.2716690999	bhj	{'a': 0.0, 'c': 0.0, 'b': 0.8609259169646604, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.858477399857434, 'j': 0.8547251288773696}
0	1.96962446353e-11	bij	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 1.0}
0	3.77778975153	cde	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 1.0, 'd': 0.9988935056453577, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	2.00348626578e-11	cdf	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	23.5381963438	cdg	{'a': 0.0, 'c': 0.8517754600453004, 'b': 0.0001733027735626997, 'e': 0.0, 'd': 0.8499023283924634, 'g': 0.8452872266033573, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	5.45534705888	cdh	{'a': 0.0, 'c': 0.9111034339415506, 'b': 0.0, 'e': 0.0, 'd': 0.9101824357714912, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.9093706727036854, 'j': 0.0}
0	1.97335481289e-11	cdi	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	16.1490165691	cdj	{'a': 0.0009324011123735647, 'c': 0.8633067481382762, 'b': 0.0, 'e': 0.0, 'd': 0.8677668390244336, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.8660344472554058}
0	2.01920702381e-11	cef	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	30.9223554119	ceg	{'a': 0.0, 'c': 0.9283655003396022, 'b': 7.485594242187207e-05, 'e': 0.9228528635648604, 'd': 0.0036091959224453037, 'g': 0.9213571141873346, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	241.159025083	ceh	{'a': 0.0008563654840356722, 'c': 0.7397478131229366, 'b': 0.0, 'e': 0.7722464641756105, 'd': 0.0, 'g': 0.01979832135750747, 'f': 0.008846386889913758, 'i': 0.0, 'h': 0.7292112361859607, 'j': 0.0}
