fourSeven	sevenNine	fourNine	fourSevenNine
SCG5	223.285714285714	0	223.285714285714	148.857142857143
NEUROD1	2.53571428571429	0	2.53571428571429	1.69047619047619
RNASE1	309.772727272727	309.897727272727	0.125	206.598484848485
RHOA	360.392857142857	369.40625	140.799107142857	290.199404761905
GSTP1	419.668831168831	619.485795454545	681.245535714286	573.466720779221
CD24	147.964285714286	242.8125	390.776785714286	260.517857142857
HEPACAM2	8	0	8	5.33333333333333
SEPT7	99.3863636363636	138.105113636364	62.21875	99.9034090909091
RPLP1	569.886363636364	572.011363636364	488.625	543.507575757576
TPT1	627.314935064935	563.292613636364	472.334821428571	554.314123376623
OGN	0	0	0	0
RPS5	469.522727272727	398.491477272727	432.46875	433.494318181818
PDIA3	436.25974025974	377.951704545455	410.120535714286	408.11066017316
YWHAZ	316.376623376623	338.090909090909	131.285714285714	261.917748917749
TXNIP	183.425324675325	174.786931818182	133.575892857143	163.929383116883
EIF4G2	166.012987012987	221.008522727273	160.566964285714	182.529491341991
FSTL1	38.8246753246753	54.6818181818182	19.1428571428571	37.5497835497835
CD63	408.103896103896	398.349431818182	372.816964285714	393.090097402597
RAMP2	434.681818181818	437.088068181818	2.40625	291.392045454545
ARL6IP1	170.032467532468	173.286931818182	291.683035714286	211.667478354978
PRDX3	278.724025974026	292.889204545455	476.522321428571	349.378517316017
TPI1	236.217532467532	298.588068181818	307.441964285714	280.749188311688
MYL12A	394.418831168831	399.110795454545	156.620535714286	316.716720779221
ARF1	209.123376623377	127.690340909091	198.995535714286	178.603084415584
EEF1G	458.681818181818	499.338068181818	375.65625	444.558712121212
SRP9	373.253246753247	333.994318181818	373.883928571429	360.377164502165
SSR2	505.366883116883	433.201704545455	432.477678571429	457.015422077922
RPL8	304.314935064935	308.105113636364	279.147321428571	297.189123376623
REG1A	11	0	11	7.33333333333333
PSMB5	163.691558441558	211.383522727273	233.620535714286	202.898538961039
CTGF	32.2207792207792	28.6761363636364	18.1696428571429	26.3555194805195
SCGN	16.4642857142857	11.1875	27.6517857142857	18.4345238095238
SKP1	505.678571428571	602.125	460.803571428571	522.869047619048
SSR4	556.49025974026	172.235795454545	491.816964285714	406.847673160173
PFN1	535.957792207792	606.136363636364	286.821428571429	476.305194805195
S100A16	373.87987012987	400.460227272727	44.7946428571429	273.044913419913
GSN	124.772727272727	124.772727272727	0	83.1818181818182
NPM1	375.564935064935	475.230113636364	486.522321428571	445.772456709957
PGK1	104.123376623377	229.815340909091	222.120535714286	185.353084415584
LDHA	142.081168831169	129.607954545455	84.5982142857143	118.762445887446
MYL12B	355.022727272727	453.303977272727	335.78125	381.369318181818
EIF3L	181	247.1875	248.1875	225.458333333333
CLDN10	179.142857142857	291.78125	470.924107142857	313.949404761905
RPL19	596.912337662338	614.059659090909	601.790178571429	604.254058441558
CLIC1	248.788961038961	293.994318181818	107.419642857143	216.734307359307
RPL13	488.00974025974	460.764204545455	371.683035714286	440.152326839827
HYAL2	47.5097402597403	34.6392045454545	22.0580357142857	34.7356601731602
RPLP0	393.025974025974	358.079545454545	360.196428571429	370.433982683983
